,NNP,frequency,news_category,frequency_ratio
0,President,33291,1,6.310037378
1,County,23345,1,4.424854242
2,National,18297,1,3.468047037
3,Minister,13201,1,2.502141823
4,Ministry,12676,1,2.402632357
5,United,11291,1,2.140116909
6,Africa,10486,1,1.987535729
7,George,9554,1,1.810882734
8,Grand,8533,1,1.617360516
9,Johnson,7955,1,1.507805333
10,Commission,7783,1,1.475204137
11,Court,7491,1,1.419857919
12,Party,7344,1,1.391995269
13,Development,7208,1,1.366217579
14,Senate,6122,1,1.160375141
15,Bank,6050,1,1.146728129
16,Health,5996,1,1.136492869
17,NEC,5952,1,1.128153028
18,House,5861,1,1.110904721
19,General,5729,1,1.085885198
20,Health,3517,0,-3.551269753
21,President,2898,0,-2.926238199
22,Africa,2178,0,-2.199222497
23,South,1889,0,-1.907406472
24,National,1635,0,-1.650931489
25,Ghana,1612,0,-1.627707376
26,University,1558,0,-1.573181199
27,United,1481,0,-1.495430908
28,CDC,1175,0,-1.186449235
29,Media,1171,0,-1.182410259
30,George,1044,0,-1.054172767
31,Department,1019,0,-1.028929166
32,ANC,930,0,-0.939061948
33,International,915,0,-0.923915787
34,Social,874,0,-0.882516282
35,Kenya,845,0,-0.853233705
36,Minister,818,0,-0.825970616
37,Center,752,0,-0.75932751
38,New,706,0,-0.712879285
39,Buhari,609,0,-0.614934114
